CustomerID,LookalikeID,SimilarityScore
C0001,C0140,0.9969867444775069
C0001,C0091,0.993671994800258
C0001,C0069,0.991389698951273
C0002,C0134,0.9988525104659369
C0002,C0143,0.9984283201161394
C0002,C0159,0.9905512047614048
C0003,C0007,0.9977566333150347
C0003,C0163,0.9976786110945369
C0003,C0005,0.9933117740306325
C0004,C0075,0.994348367112613
C0004,C0146,0.9881680552221812
C0004,C0090,0.975744850550476
C0005,C0163,0.9968853550276062
C0005,C0007,0.9945109561672151
C0005,C0003,0.9933117740306325
C0006,C0185,0.9934706095021953
C0006,C0169,0.9919864915846763
C0006,C0081,0.9901267806602512
C0007,C0163,0.9996648274026321
C0007,C0003,0.9977566333150347
C0007,C0005,0.9945109561672151
C0008,C0055,0.9879317744188133
C0008,C0170,0.9753499292489916
C0008,C0173,0.9740589402976697
C0009,C0190,0.9914620743124641
C0009,C0067,0.9756791459088333
C0009,C0049,0.9744340681376729
C0010,C0042,0.9999988956658776
C0010,C0083,0.9999525371108678
C0010,C0029,0.9968733441563705
C0011,C0188,0.9934003538098642
C0011,C0074,0.9933424964313439
C0011,C0016,0.9887426206012474
C0012,C0152,0.9998513489130761
C0012,C0199,0.9919569059091538
C0012,C0148,0.9883635704449752
C0013,C0044,0.99149329839785
C0013,C0046,0.9863091850851735
C0013,C0056,0.9705650045346548
C0014,C0089,0.9999962271955197
C0014,C0128,0.9999950760720088
C0014,C0080,0.9999950760720088
C0015,C0071,0.990897047224657
C0015,C0136,0.9846753428569659
C0015,C0052,0.9784461497201183
C0016,C0188,0.9898496269810283
C0016,C0011,0.9887426206012474
C0016,C0021,0.9803063349595749
C0017,C0179,0.9911943233011655
C0017,C0177,0.9909020962151538
C0017,C0035,0.9882612058597082
C0018,C0051,0.9947840479557002
C0018,C0186,0.9888266480801446
C0018,C0023,0.9887359006423702
C0019,C0070,0.9860200396295362
C0019,C0115,0.9797970907483993
C0019,C0191,0.9696351066144321
C0020,C0120,0.9999995452612341
C0020,C0130,0.9999960226150569
C0020,C0069,0.9998016872792138
